sprint,phase,record,recorded_title,classification,current_reference_or_planning
026,cross-cutting,docs/archive/phases/cross-cutting/SPRINT_026.md,Sprint 026 — Research Hot-Path Performance,implemented_slice,docs/reference/modules/RESEARCH.md
028,cross-cutting,docs/archive/phases/cross-cutting/SPRINT_028.md,Sprint 028 — Dashboard Application MVP,implemented_slice,docs/reference/modules/DASHBOARD_APPLICATION.md
029,cross-cutting,docs/archive/phases/cross-cutting/SPRINT_029.md,Sprint 029 — Repository Layout Foundations,implemented_slice,docs/reference/system/MODULE_MAP.md
030,cross-cutting,docs/archive/phases/cross-cutting/SPRINT_030.md,Sprint 030 — Repository Navigability Hygiene,documentation_only,docs/README.md
033,cross-cutting,docs/archive/phases/cross-cutting/SPRINT_033.md,Sprint 033 - Dashboard Presentation Polish,implemented_slice,docs/reference/modules/DASHBOARD_APPLICATION.md
034,cross-cutting,docs/archive/phases/cross-cutting/SPRINT_034.md,Sprint 034 - Public Dashboard Demo Polish,implemented_slice,docs/reference/modules/DASHBOARD_APPLICATION.md
035,cross-cutting,docs/archive/phases/cross-cutting/SPRINT_035.md,Sprint 035 - Next Increment Selection (post public demo),planning_only,docs/planning/ROADMAP.md
036,cross-cutting,docs/archive/phases/cross-cutting/SPRINT_036.md,Sprint 036 - Research Infra Audit (gate for DSL / components),decision_only,docs/adr/ADR-MA-014-marketframe-polars-committed-bulk-engine.md
037,cross-cutting,docs/archive/phases/cross-cutting/SPRINT_037.md,Sprint 037 — Component Libraries + DSL Simplification,implemented_slice,docs/reference/modules/MODELS_AND_DSL.md
038,cross-cutting,docs/archive/phases/cross-cutting/SPRINT_038.md,Sprint 038 — Session Range Structure,implemented_slice,docs/reference/modules/ANALYSIS_COMPONENT_CATALOG.md
053,cross-cutting,docs/archive/phases/cross-cutting/SPRINT_053.md,Sprint 053 — Repository Workflow & Documentation Hygiene (Phase A–D),documentation_only,docs/README.md
054,cross-cutting,docs/archive/phases/cross-cutting/SPRINT_054.md,Sprint 054 — Vision Reclassification and Reference Layering (Phase 6b + 10a),documentation_only,docs/vision/README.md
055,cross-cutting,docs/archive/phases/cross-cutting/SPRINT_055.md,Sprint 055 — Documentation Architecture Rebuild (High-Level to Low-Level),documentation_only,docs/README.md
001,phase-01-foundation,docs/archive/phases/phase-01-foundation/SPRINT_001.md,Sprint 001 — Repository Foundation,implemented_slice,docs/reference/system/SYSTEM_OVERVIEW.md
002,phase-02-market-data,docs/archive/phases/phase-02-market-data/SPRINT_002.md,Sprint 002 — Market Data MVP,implemented_slice,docs/reference/workflows/MARKET_DATA.md
011,phase-02-market-data,docs/archive/phases/phase-02-market-data/SPRINT_011.md,Sprint 011 — Historical Archive Import Foundation,implemented_slice,docs/reference/workflows/MARKET_DATA.md
012,phase-02-market-data,docs/archive/phases/phase-02-market-data/SPRINT_012.md,Sprint 012 — Derived OHLCV from Trades (Phase 2B.3),implemented_slice,docs/reference/workflows/MARKET_DATA.md
015,phase-02-market-data,docs/archive/phases/phase-02-market-data/SPRINT_015.md,Sprint 015 — Continuous Futures Materialization (Phase 2C.4),implemented_slice,docs/reference/workflows/MARKET_DATA.md
027,phase-02-market-data,docs/archive/phases/phase-02-market-data/SPRINT_027.md,Sprint 027 — Market Data Import / Continuous Build Performance,implemented_slice,docs/reference/workflows/MARKET_DATA.md
045,phase-02-market-data,docs/archive/phases/phase-02-market-data/SPRINT_045.md,Sprint 045 — Binance USD-M Historical OHLCV Ingestion (Phase 2F),implemented_slice,docs/reference/workflows/MARKET_DATA.md
003,phase-03-market-analysis,docs/archive/phases/phase-03-market-analysis/SPRINT_003.md,Sprint 003 — Market Analysis Engine MVP,implemented_slice,docs/reference/system/MARKET_ANALYSIS_ARCHITECTURE.md
004,phase-04-market-analysis-and-models,docs/archive/phases/phase-04-market-analysis-and-models/SPRINT_004.md,Sprint 004 — Multitimeframe Foundation MVP,implemented_slice,docs/reference/modules/MARKET_ANALYSIS_MODULE.md
005,phase-04-market-analysis-and-models,docs/archive/phases/phase-04-market-analysis-and-models/SPRINT_005.md,"Sprint 005 — Trading Calendar, Pivot Structure and Visual Inspection MVP",implemented_slice,docs/reference/modules/MARKET_ANALYSIS_MODULE.md
006,phase-04-market-analysis-and-models,docs/archive/phases/phase-04-market-analysis-and-models/SPRINT_006.md,Sprint 006 — Declarative Market Model and Signal Model MVP,implemented_slice,docs/reference/modules/MODELS_AND_DSL.md
007,phase-04-market-analysis-and-models,docs/archive/phases/phase-04-market-analysis-and-models/SPRINT_007.md,Sprint 007 — Research-Enabling Analytical Set,implemented_slice,docs/reference/modules/ANALYSIS_COMPONENT_CATALOG.md
